date,a,b,c,d,e,f
05-11-2021,48.09,48.810001,46.549999,48.610001,48.243202,173959100
08-11-2021,48.610001,48.790001,47.599998,48.330002,47.965313,57423300
09-11-2021,48.330002,48.380001,47.150002,47.299999,46.943085,29920400
10-11-2021,47.400002,49.209999,47.400002,49.02,48.650108,42696200
11-11-2021,49.23,50.5,48.73,50.18,49.801353,42370400
12-11-2021,50.419998,50.490002,49.57,49.73,49.354748,27780600
15-11-2021,49.73,50.099998,49.369999,49.650002,49.275352,27763200
16-11-2021,49.470001,50.16,48.889999,49.599998,49.225727,31297200
17-11-2021,49.939999,51.09,49.689999,50.869999,50.486145,36889800
18-11-2021,51.099998,51.709999,50.610001,51.41,51.022072,32872600
19-11-2021,51.959999,52.84,50.68,50.799999,50.416676,47966200
22-11-2021,50.950001,51.470001,50.380001,51.200001,50.813656,27287900
23-11-2021,50.580002,51.450001,50.299999,51.080002,50.694565,24946200
24-11-2021,51.18,51.330002,50.709999,50.889999,50.505997,18556800
26-11-2021,54.040001,54.939999,53.25,54,53.592529,66561300
29-11-2021,55.150002,55.700001,52.110001,52.400002,52.004604,72660800
30-11-2021,52.310001,54.459999,51.91,53.73,53.324566,64598400
01-12-2021,52.470001,55.169998,51.860001,54.68,54.267399,59810400
02-12-2021,53.82,55.080002,52.77,53.040001,52.639774,46361700
03-12-2021,53.709999,54.41,53.099998,54.27,53.860493,37574800
06-12-2021,53.779999,53.889999,51.25,51.48,51.091545,53724000
07-12-2021,51.25,52.5,50.400002,51.720001,51.329735,41575400
08-12-2021,52.75,53.080002,51.029999,51.400002,51.01215,37429200
09-12-2021,51.509998,52.849998,51.509998,52.080002,51.687019,38325700
10-12-2021,51.200001,52.849998,51.110001,52.779999,52.381733,26079400
13-12-2021,53.439999,55.73,53.439999,55.200001,54.783474,54923200
14-12-2021,54.77,55.950001,54.32,55.540001,55.120911,48685700
15-12-2021,56.110001,58.919998,55.889999,58.799999,58.356308,75202900
16-12-2021,58.360001,61.43,57.75,61.25,60.787823,75183600
17-12-2021,59.93,61.189999,58.700001,59.48,59.031178,104192100
20-12-2021,60.599998,61.709999,59.830002,61.02,60.559559,55712200
21-12-2021,60.009998,60.040001,57.16,58.950001,58.505177,63877900
22-12-2021,59.25,60.59,58.220001,59.549999,59.100647,62594900
23-12-2021,59.82,60.080002,58.310001,58.709999,58.266987,39203200
27-12-2021,58.849998,59.380001,58.23,59.200001,58.753292,27362600
28-12-2021,59.049999,59.450001,57.080002,58.009998,57.572269,36901700
29-12-2021,57.310001,58.029999,57.07,57.580002,57.145515,26170200
30-12-2021,57.75,58.740002,57.529999,58.400002,57.959328,24559000
31-12-2021,58.529999,59.799999,58.439999,59.049999,58.60442,28579600
